31505	resistant_motif2	100.000	21	0	0	241	303	1	21	6.67e-12	47.8
31505	resistant_motif2	45.455	11	6	0	2724	2692	2	12	5.1	14.6
31505	resistant_motif11	95.238	21	1	0	241	303	1	21	1.06e-11	47.0
31505	resistant_motif11	46.667	15	7	1	2724	2680	2	15	4.2	14.6
31505	resistant_motif6	90.476	21	2	0	241	303	1	21	2.45e-11	46.2
31505	resistant_motif6	75.000	8	2	0	670	693	10	17	0.91	16.2
31505	resistant_motif6	50.000	10	5	0	2724	2695	2	11	2.5	15.4
31505	resistant_motif4	95.238	21	1	0	241	303	1	21	3.04e-11	45.8
31505	resistant_motif4	45.455	11	6	0	2724	2692	2	12	4.5	14.6
31505	resistant_motif3	95.238	21	1	0	241	303	1	21	3.55e-11	45.8
31505	resistant_motif3	45.455	11	6	0	2724	2692	2	12	3.8	15.0
31505	resistant_motif1	95.238	21	1	0	241	303	1	21	6.08e-11	45.1
31505	resistant_motif1	45.455	11	6	0	2724	2692	2	12	3.2	15.0
31505	resistant_motif9	90.476	21	2	0	241	303	1	21	7.84e-11	44.7
31505	resistant_motif9	50.000	10	5	0	2724	2695	2	11	2.8	15.0
31505	resistant_motif7	95.238	21	1	0	241	303	1	21	8.65e-11	44.7
31505	resistant_motif7	35.714	14	9	0	2724	2683	2	15	2.4	15.4
31505	sensitive_motif6	95.238	21	1	0	241	303	1	21	9.82e-11	44.3
31505	resistant_motif5	90.476	21	2	0	241	303	1	21	1.91e-10	43.5
31505	resistant_motif10	90.476	21	2	0	241	303	1	21	3.27e-10	42.7
31505	resistant_motif10	50.000	10	5	0	2724	2695	2	11	1.9	15.4
31505	sensitive_motif7	90.476	21	2	0	241	303	1	21	4.47e-10	42.4
31505	resistant_motif8	90.476	21	2	0	241	303	1	21	4.84e-10	42.4
31505	resistant_motif8	50.000	10	5	0	2724	2695	2	11	2.1	15.4
31505	sensitive_motif3	90.476	21	2	0	241	303	1	21	5.34e-10	42.4
31505	sensitive_motif2	85.714	21	3	0	241	303	1	21	8.37e-10	41.6
31505	sensitive_motif1	90.476	21	2	0	241	303	1	21	8.62e-10	41.6
31505	sensitive_motif4	85.714	21	3	0	241	303	1	21	1.29e-09	41.2
31505	sensitive_motif8	90.476	21	2	0	241	303	1	21	1.45e-09	41.2
31505	sensitive_motif5	85.714	21	3	0	241	303	1	21	3.50e-09	40.0
